id,season,winner
385,2013,Rajasthan Royals
386,2013,Mumbai Indians
387,2013,Kings XI Punjab
388,2013,Sunrisers Hyderabad
389,2013,Rajasthan Royals
390,2013,Mumbai Indians
391,2013,Chennai Super Kings
392,2013,Royal Challengers Bangalore
393,2013,Pune Warriors
394,2013,Sunrisers Hyderabad
395,2013,Mumbai Indians
396,2013,Chennai Super Kings
397,2013,Kolkata Knight Riders
398,2013,Rajasthan Royals
399,2013,Pune Warriors
400,2013,Kings XI Punjab
401,2013,Royal Challengers Bangalore
402,2013,Sunrisers Hyderabad
403,2013,Rajasthan Royals
404,2013,Chennai Super Kings
405,2013,Sunrisers Hyderabad
406,2013,Chennai Super Kings
407,2013,Royal Challengers Bangalore
408,2013,Delhi Daredevils
409,2013,Kings XI Punjab
410,2013,Chennai Super Kings
411,2013,Royal Challengers Bangalore
412,2013,Kings XI Punjab
413,2013,Mumbai Indians
414,2013,Chennai Super Kings
415,2013,Kolkata Knight Riders
416,2013,Rajasthan Royals
417,2013,Mumbai Indians
418,2013,Chennai Super Kings
419,2013,Delhi Daredevils
420,2013,Rajasthan Royals
421,2013,Mumbai Indians
422,2013,Chennai Super Kings
423,2013,Sunrisers Hyderabad
424,2013,Delhi Daredevils
425,2013,Chennai Super Kings
426,2013,Royal Challengers Bangalore
427,2013,Kolkata Knight Riders
428,2013,Sunrisers Hyderabad
429,2013,Kings XI Punjab
430,2013,Mumbai Indians
431,2013,Rajasthan Royals
432,2013,Royal Challengers Bangalore
433,2013,Rajasthan Royals
434,2013,Mumbai Indians
435,2013,Chennai Super Kings
436,2013,Rajasthan Royals
437,2013,Kolkata Knight Riders
438,2013,Royal Challengers Bangalore
439,2013,Mumbai Indians
440,2013,Sunrisers Hyderabad
441,2013,Kolkata Knight Riders
442,2013,Rajasthan Royals
443,2013,Kings XI Punjab
444,2013,Mumbai Indians
445,2013,Pune Warriors
446,2013,Chennai Super Kings
447,2013,Mumbai Indians
448,2013,Kings XI Punjab
449,2013,Sunrisers Hyderabad
450,2013,Kings XI Punjab
451,2013,Pune Warriors
452,2013,Royal Challengers Bangalore
453,2013,Sunrisers Hyderabad
454,2013,Chennai Super Kings
455,2013,Rajasthan Royals
456,2013,Mumbai Indians
457,2013,Mumbai Indians
458,2014,Kolkata Knight Riders
459,2014,Royal Challengers Bangalore
460,2014,Kings XI Punjab
461,2014,Rajasthan Royals
462,2014,Royal Challengers Bangalore
463,2014,Delhi Daredevils
464,2014,Kings XI Punjab
465,2014,Chennai Super Kings
466,2014,Kings XI Punjab
467,2014,Chennai Super Kings
468,2014,Kolkata Knight Riders
469,2014,Sunrisers Hyderabad
470,2014,Chennai Super Kings
471,2014,Rajasthan Royals
472,2014,Kings XI Punjab
473,2014,Delhi Daredevils
474,2014,Chennai Super Kings
475,2014,Kings XI Punjab
476,2014,Rajasthan Royals
477,2014,Sunrisers Hyderabad
478,2014,Chennai Super Kings
479,2014,Mumbai Indians
480,2014,Rajasthan Royals
481,2014,Royal Challengers Bangalore
482,2014,Rajasthan Royals
483,2014,Chennai Super Kings
484,2014,Mumbai Indians
485,2014,Kolkata Knight Riders
486,2014,Kings XI Punjab
487,2014,Sunrisers Hyderabad
488,2014,Kings XI Punjab
489,2014,Sunrisers Hyderabad
490,2014,Chennai Super Kings
491,2014,Kolkata Knight Riders
492,2014,Rajasthan Royals
493,2014,Mumbai Indians
494,2014,Chennai Super Kings
495,2014,Royal Challengers Bangalore
496,2014,Kings XI Punjab
497,2014,Kolkata Knight Riders
498,2014,Rajasthan Royals
499,2014,Royal Challengers Bangalore
500,2014,Kolkata Knight Riders
501,2014,Mumbai Indians
502,2014,Kings XI Punjab
503,2014,Sunrisers Hyderabad
504,2014,Kolkata Knight Riders
505,2014,Mumbai Indians
506,2014,Kolkata Knight Riders
507,2014,Sunrisers Hyderabad
508,2014,Mumbai Indians
509,2014,Kings XI Punjab
510,2014,Chennai Super Kings
511,2014,Kolkata Knight Riders
512,2014,Kings XI Punjab
513,2014,Mumbai Indians
514,2014,Kolkata Knight Riders
515,2014,Chennai Super Kings
516,2014,Kings XI Punjab
517,2014,Kolkata Knight Riders
518,2015,Kolkata Knight Riders
519,2015,Chennai Super Kings
520,2015,Rajasthan Royals
